# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
W,27x14x281,4.19,744,364,26.9,49,15,532.4,645.9,615.9,M27,114,258,2.864,6.854,493900,13280,15260,30.46,203.6,39500,2170,3366,8.61,142.5,3270,47560000
W,27x14x307,4.57,752,367,29.5,53.1,15,582.2,645.9,615.9,M27,118,262,2.887,6.317,545000,14500,16760,30.6,224,43890,2392,3720,8.68,153.3,4200,53420000
W,27x14x336,5,762,369,32,57.9,15,636,645.9,615.9,M27,120,264,2.91,5.829,604700,15870,18450,30.83,244.6,48670,2638,4111,8.75,165.4,5433,60100000
W,27x14x368,5.48,772,372,35.1,63,15,697.4,645.9,615.9,M27,124,266,2.936,5.363,671400,17390,20340,31.03,269.7,54290,2919,4562,8.82,178.7,7047,67930000
W,27x14x539,8.02,826,387,50,89.9,15,1021,645.9,615.9,M27,142,276,3.074,3.836,1062000,25710,30890,32.25,397,87530,4524,7141,9.26,247.4,20740,117600000
W,30x10.5x90,1.34,750,264,11.9,15.5,17,169.9,719.1,685.1,M27,106,160,2.503,18.77,150400,4011,4632,29.75,95.16,4766,361.1,568,5.3,62.82,121.8,6411000
W,30x10.5x99,1.47,753,265,13.2,17,17,187.5,719.1,685.1,M27,106,160,2.51,17.06,166100,4411,5110,29.76,105.4,5289,399.2,630.8,5.31,67.12,161.5,7141000
W,30x10.5x108,1.61,758,266,13.8,19.3,17,204.4,719.1,685.1,M27,106,160,2.523,15.72,186100,4909,5666,30.17,111,6070,456.6,719.7,5.45,72.32,211.7,8259000
W,30x10.5x116,1.73,762,267,14.4,21.6,17,221.3,719.1,685.1,M27,106,162,2.534,14.58,205800,5402,6218,30.49,116.4,6873,514.9,809.9,5.57,77.52,273.6,9391000
W,30x10.5x124,1.85,766,267,14.9,23.6,17,235.6,719.1,685.1,M27,106,162,2.541,13.74,223000,5821,6691,30.76,121.1,7510,562.5,883.9,5.65,82.02,336.7,10320000
W,30x10.5x132,1.96,770,268,15.6,25.4,17,250.8,719.1,685.1,M27,108,162,2.552,12.96,240300,6241,7174,30.95,127.3,8175,610.1,958.8,5.71,86.32,408.9,11290000
W,30x10.5x148,2.2,779,266,16.5,30,17,280.7,719.1,685.1,M27,108,160,2.56,11.62,278200,7143,8198,31.48,136.3,9440,709.9,1113,5.8,96.42,609,13200000
W,33x11.5x118,1.76,835,292,14,18.8,18,224.2,797.1,761.1,M27,108,186,2.779,15.79,246400,5901,6816,33.15,123.8,7823,535.8,843.6,5.91,72.69,226.9,12990000
W,33x11.5x130,1.93,840,292,14.7,21.7,18,246.6,797.1,761.1,M27,108,186,2.788,14.4,278400,6630,7627,33.6,130.9,9029,618.5,971.3,6.05,79.19,309.9,15070000
W,33x11.5x141,2.1,846,293,15.4,24.4,18,268.5,797.1,761.1,M27,110,188,2.802,13.29,310700,7346,8430,34.02,138.1,10260,700.2,1098,6.18,85.29,409,17260000
W,33x11.5x152,2.26,851,294,16.1,26.8,18,288.7,797.1,761.1,M27,110,188,2.815,12.42,340100,7992,9163,34.32,145.1,11380,774.3,1213,6.28,90.79,517.5,19280000
W,33x11.5x169,2.51,859,292,17,31,18,319.3,797.1,761.1,M27,112,186,2.821,11.25,386500,8999,10300,34.79,154.7,12900,883.6,1383,6.36,100.1,737.6,22050000
W,36x12x135,2.01,903,304,15.2,20.1,19,256.5,862.8,824.8,M27,112,198,2.959,14.7,325200,7203,8356,35.61,144.9,9442,621.2,982.3,6.07,77.66,298,18340000
W,36x12x150,2.23,911,304,15.9,23.9,19,285.7,862.8,824.8,M27,112,198,2.974,13.26,376800,8273,9540,36.32,153.2,11220,738.5,1163,6.27,85.96,426.8,22020000
W,36x12x160,2.38,915,305,16.5,25.9,19,303.5,862.8,824.8,M27,112,200,2.984,12.53,406400,8883,10230,36.59,159.6,12290,805.6,1267,6.36,90.56,518.8,24200000
W,36x12x170,2.53,919,306,17.3,27.9,19,323.2,862.8,824.8,M27,114,200,2.995,11.8,437500,9520,10960,36.79,167.9,13370,873.6,1375,6.43,95.36,630.9,26450000
W,36x12x182,2.71,923,307,18.4,30,19,346.1,862.8,824.8,M27,114,202,3.005,11.06,471600,10220,11780,36.91,178.8,14520,945.8,1491,6.48,100.7,775,28840000
W,36x12x194,2.89,927,308,19.4,32,19,367.6,862.8,824.8,M27,116,202,3.015,10.45,504500,10880,12570,37.04,188.9,15640,1016,1603,6.52,105.7,929.8,31210000
W,36x12x210,3.13,932,309,21.1,34.5,19,398.4,862.8,824.8,M27,118,204,3.025,9.673,548200,11760,13630,37.1,205.6,17040,1103,1748,6.54,112.4,1171,34160000
W,36x12x232,3.45,943,308,22.1,39.9,19,439.7,862.8,824.8,M27,118,202,3.041,8.812,625600,13270,15350,37.72,217.8,19520,1267,2003,6.66,124.2,1658,39620000
W,36x12x256,3.81,951,310,24.4,43.9,19,485.9,862.8,824.8,M27,120,204,3.061,8.024,696800,14650,17020,37.87,241.1,21910,1414,2243,6.72,134.5,2213,44840000
W,36x12x286,4.25,961,313,26.9,49,19,542,862.8,824.8,M27,122,208,3.088,7.257,788200,16400,19130,38.13,267,25190,1610,2562,6.82,147.2,3054,52070000
W,36x12x318,4.74,971,316,30,54.1,19,603.9,862.8,824.8,M27,126,210,3.113,6.568,885700,18240,21390,38.3,298.7,28660,1814,2901,6.89,160.5,4147,59800000
W,36x12x350,5.21,981,319,33,58.9,19,663.7,862.8,824.8,M27,128,214,3.139,6.025,982400,20030,23610,38.47,329.8,32140,2015,3238,6.96,173.1,5405,67740000
W,36x12x387,5.76,993,322,36.1,65,19,733.2,862.8,824.8,M27,132,216,3.169,5.506,1102000,22190,26280,38.76,362.8,36520,2268,3658,7.06,188.4,7227,77870000
W,36x16.5x231,3.44,927,418,19.3,32,19,437.2,862.8,824.8,M27,126,312,3.455,10.07,645000,13920,15700,38.41,188,39010,1867,2880,9.45,105.6,1159,78120000
W,36x16.5x247,3.68,931,419,20.3,34.3,19,465.6,862.8,824.8,M27,128,314,3.465,9.48,692200,14870,16790,38.56,198.2,42120,2010,3104,9.51,111.2,1408,84670000
W,36x16.5x262,3.9,936,420,21.3,36.6,19,494.3,862.8,824.8,M27,128,314,3.477,8.96,741700,15850,17920,38.74,208.6,45270,2156,3331,9.57,116.8,1691,91550000
W,36x16.5x282,4.2,943,422,22.5,39.9,19,534.1,862.8,824.8,M27,130,316,3.496,8.34,813300,17250,19530,39.02,221.5,50070,2373,3667,9.68,124.6,2151,102100000
W,36x16.5x302,4.49,948,423,24,42.7,19,571.4,862.8,824.8,M27,130,318,3.507,7.82,874700,18450,20950,39.13,236.6,53970,2552,3949,9.72,131.7,2627,110600000
W,36x16.5x330,4.91,957,422,25.9,47,19,623.3,862.8,824.8,M27,132,316,3.518,7.189,966300,20200,23000,39.37,256.6,59000,2796,4335,9.73,142.2,3441,122200000
W,36x16.5x361,5.37,965,425,28.4,51.1,19,682.5,862.8,824.8,M27,136,320,3.541,6.609,1066000,22080,25270,39.51,282.1,65550,3085,4795,9.8,152.9,4447,136900000
W,36x16.5x395,5.88,975,427,31,55.9,19,748.1,862.8,824.8,M27,138,322,3.563,6.068,1181000,24230,27840,39.74,309.3,72760,3408,5310,9.86,165.1,5859,153200000
W,36x16.5x441,6.56,987,431,34.5,62,19,835.3,862.8,824.8,M27,144,320,3.596,5.485,1335000,27060,31270,39.98,345.8,83040,3853,6022,9.97,180.8,7950,177600000
W,36x16.5x487,7.25,999,434,38.1,68.1,19,922.9,862.8,824.8,M27,148,323,3.625,5.004,1492000,29880,34740,40.21,383.6,93200,4295,6734,10.05,196.6,10570,201900000
W,36x16.5x529,7.87,1011,437,40.9,73.9,19,1002,862.8,824.8,M27,152,326,3.656,4.647,1646000,32560,38010,40.53,414.5,103300,4728,7425,10.15,211,13430,226800000
W,36x16.5x652,9.7,1043,446,50,89.9,19,1237,862.8,824.8,M27,160,334,3.737,3.85,2100000,40270,47660,41.21,513.8,133900,6002,9490,10.4,252.1,24320,304000000
W,36x16.5x723,10.77,1061,451,55,99.1,19,1372,863.2,825.2,M27,166,340,3.784,3.514,2377000,44790,53390,41.63,570,152700,6773,10740,10.55,275.5,33170,350800000
W,36x16.5x802,11.94,1081,457,60.5,109,19,1522,863.2,825.2,M27,172,346,3.837,3.212,2694000,49830,59830,42.08,632.7,175000,7660,12180,10.72,300.8,44370,409700000
W,36x16.5x853,12.69,1093,461,64,115.1,19,1617,863.2,825.2,M27,174,350,3.87,3.049,2900000,53040,63960,42.35,672.9,189900,8237,13130,10.84,316.5,52500,449700000
W,36x16.5x925,13.77,1093,473,76.7,115.1,19,1754,863.2,825.2,M27,188,362,3.893,2.827,3034000,55500,67680,41.59,797.2,206300,8723,14160,10.85,329.2,61190,485700000
W,40x12x149,2.22,970,300,16,21.1,30,282.8,928.1,868.1,M27,134,194,3.056,13.77,407700,8405,9803,37.97,172.2,9546,636.4,1020,5.81,93.35,406,21370000
W,40x12x167,2.49,980,300,16.5,26,30,316.8,928.1,868.1,M27,134,194,3.075,12.37,481100,9818,11350,38.97,180.7,11750,783.6,1245,6.09,103.6,584.4,26620000
W,40x12x183,2.72,990,300,16.5,31,30,346.8,928.1,868.1,M27,134,194,3.095,11.37,553800,11190,12820,39.96,184.6,14000,933.6,1470,6.35,113.6,822.4,32070000
W,40x12x211,3.14,1000,300,19.1,35.9,30,400.4,928.1,868.1,M27,136,194,3.11,9.895,644200,12880,14850,40.11,213.4,16230,1082,1713,6.37,126,1252,37540000
W,40x12x235,3.5,1008,302,21.1,40,30,445.1,928.1,868.1,M27,140,196,3.13,8.958,723000,14340,16590,40.3,236,18460,1223,1941,6.44,136.2,1707,43020000
W,40x12x264,3.93,1016,303,24.4,43.9,30,500.2,928.1,868.1,M27,142,198,3.144,8.006,807700,15900,18540,40.18,271.3,20500,1353,2168,6.4,147.3,2332,48080000
W,40x12x278,4.15,1020,304,26,46,30,528.7,928.1,868.1,M27,144,198,3.152,7.596,853100,16730,19570,40.17,288.6,21710,1428,2298,6.41,153.1,2713,51080000
W,40x12x294,4.38,1026,305,26.9,49,30,556.3,928.1,868.1,M27,146,200,3.167,7.252,909200,17720,20750,40.43,299.9,23360,1531,2463,6.48,160,3190,55290000
W,40x12x327,4.86,1036,308,30,54.1,30,619.3,928.1,868.1,M27,148,202,3.192,6.567,1020000,19690,23170,40.58,334.8,26590,1727,2792,6.55,173.3,4319,63500000
W,40x12x331,4.94,1036,309,31,54,30,629.1,928.1,868.1,M27,148,204,3.194,6.468,1028000,19840,23410,40.42,344.5,26820,1736,2818,6.53,174.1,4433,64010000
W,40x12x392,5.84,1056,314,36,64,30,743.7,928.1,868.1,M27,154,208,3.244,5.557,1246000,23600,28040,40.93,403.2,33430,2130,3475,6.7,199.1,7230,81240000
W,40x16x199,2.96,982,400,16.5,27.1,30,377.6,928.1,868.1,M27,134,294,3.479,11.74,620300,12630,14260,40.53,181.5,28960,1448,2243,8.76,105.8,762.6,65900000
W,40x16x215,3.21,990,400,16.5,31,30,408.8,928.1,868.1,M27,134,294,3.495,10.89,696400,14070,15800,41.27,184.6,33120,1656,2555,9,113.6,1021,76030000
W,40x16x249,3.71,1000,400,19,36.1,30,472.8,928.1,868.1,M27,136,294,3.51,9.458,813700,16270,18360,41.49,212.5,38580,1929,2984,9.03,126.3,1575,89440000
W,40x16x277,4.12,1008,402,21.1,40,30,525.1,928.1,868.1,M27,140,296,3.53,8.564,910500,18070,20460,41.64,236,43400,2160,3349,9.09,136.2,2134,101500000
W,40x16x297,4.43,1012,402,23.6,41.9,30,563.7,928.1,868.1,M27,142,296,3.533,7.985,966500,19100,21780,41.41,261.8,45500,2264,3529,8.98,142.5,2545,106700000
W,40x16x324,4.83,1020,404,25.4,46,30,615.1,928.1,868.1,M27,144,298,3.554,7.36,1067000,20930,23920,41.66,282.7,50710,2510,3919,9.08,152.5,3311,119900000
W,40x16x362,5.39,1030,407,28.4,51.1,30,687.2,928.1,868.1,M27,146,302,3.58,6.636,1203000,23350,26820,41.83,316.4,57630,2832,4436,9.16,165.7,4546,137600000
W,40x16x372,5.54,1032,408,29.5,52,30,705.8,928.1,868.1,M27,150,296,3.585,6.471,1232000,23880,27500,41.79,328,59100,2897,4547,9.15,168.6,4860,141300000
W,40x16x397,5.91,1040,409,31,55.9,30,752.7,928.1,868.1,M27,148,304,3.602,6.097,1331000,25600,29530,42.05,346.3,64010,3130,4916,9.22,177.9,5927,154300000
W,40x16x431,6.42,1048,412,34,60,30,817.6,928.1,868.1,M27,154,300,3.624,5.647,1451000,27680,32100,42.12,379.6,70280,3412,5379,9.27,189.1,7440,170700000
W,40x16x503,7.48,1068,417,39,70,30,953.4,928.1,868.1,M27,160,304,3.674,4.909,1732000,32430,37880,42.62,438.9,85110,4082,6459,9.45,214.1,11670,210600000
W,40x16x593,8.83,1092,424,45.5,82,30,1125,928.1,868.1,M27,166,312,3.737,4.231,2096000,38390,45260,43.16,516.5,105000,4952,7874,9.66,244.6,18750,265700000
W,40x16x655,9.76,1108,428,50,89.9,30,1243,928.1,868.1,M27,172,316,3.776,3.875,2349000,42400,50300,43.5,570.7,118500,5538,8839,9.77,264.9,24770,304400000
W,44x16x230,3.43,1090,400,18,31,30,440.7,1028,968,M27,128,310,3.692,10.67,878360,16110,18280,44.64,216.9,33130,1657,2575,8.67,115.1,1105,92910000
W,44x16x262,3.9,1100,400,20,36,30,501.3,1028,968,M27,130,310,3.708,9.423,1016300,18480,21000,45.02,242.1,38490,1924,2995,8.76,127.1,1649,108900000
W,44x16x290,4.33,1108,402,22,40,30,555.4,1028,968,M27,132,312,3.728,8.55,1136500,20510,23380,45.23,266.6,43430,2160,3370,8.85,137.1,2229,123800000
W,44x16x335,4.99,1118,405,26,45,30,639.5,1028,968,M27,136,315,3.752,7.475,1305000,23340,26820,45.17,313.7,50010,2469,3879,8.84,151.1,3253,143900000
W,44x16x368,5.48,1128,407,28,50,30,702.5,1028,968,M27,138,317,3.776,6.848,1456600,25820,29730,45.53,339.5,56410,2771,4358,8.96,163.1,4344,163800000
W,44x16x408,6.07,1138,410,31,55,30,777.4,1028,968,M27,141,320,3.802,6.231,1624100,28540,33000,45.7,376.4,63470,3096,4886,9.03,176.1,5789,186100000
HP,8x29,0.43,200,205,9,9,10,54.14,182,162,M24,96,112,1.185,27.88,3888,388.8,434.5,8.47,19.85,1294,126.2,193.4,4.89,38.72,17.68,117900
HP,8x36,0.53,204,207,11.3,11.3,10,68.4,181.1,161.1,M24,98,114,1.196,22.36,4977,488,551.3,8.55,24.89,1673,161.7,248.6,4.96,45.62,34.2,155100
HP,10x42,0.62,246,256,10.5,10.7,13,80,225,199,M27,104,150,1.473,23.5,8753,711.6,792.8,10.47,28.94,2995,234,358,6.13,47.13,37.02,414100
HP,10x57,0.85,254,260,14.4,14.4,13,108,225,199,M27,108,154,1.497,17.53,12300,968.9,1096,10.64,39.7,4225,325,499.9,6.23,58.43,89.32,605400
HP,12x53,0.79,299,306,11,11,15,100,277.1,247.1,M27,104,200,1.774,22.67,16270,1088,1207,12.77,36.91,5258,343.6,525.1,7.26,50.57,50.3,1089000
HP,12x63,0.93,303,308,13.1,13.1,15,119,277.1,247.1,M27,106,202,1.786,19.14,19630,1296,1447,12.85,43.84,6387,414.7,635.1,7.33,56.87,82.53,1340000
HP,12x74,1.1,308,310,15.4,15.5,15,141,277.1,247.1,M27,108,204,1.799,16.29,23660,1536,1727,12.97,51.63,7707,497.2,763.3,7.4,63.97,133.1,1646000
HP,12x84,1.25,312,312,17.4,17.4,15,159,277.1,247.1,M27,110,206,1.811,14.54,27030,1733,1960,13.05,58.41,8823,565.6,870.2,7.46,69.77,188.2,1911000
HP,12x89,1.32,314,313,18.3,18.3,15,167.3,277.1,247.1,M27,112,208,1.818,13.84,28680,1827,2072,13.1,61.53,9370,598.7,922.1,7.48,72.47,218.5,2044000
HP,14x73,1.08,346,370,12.8,12.8,15,138,320,290,M27,102,264,2.121,19.62,30290,1751,1937,14.83,48.42,10810,584.5,891.2,8.86,55.97,88.99,2999000
HP,14x89,1.32,351,373,15.6,15.6,15,168,320,290,M27,104,268,2.137,16.19,37480,2135,2381,14.93,58.93,13510,724.2,1107,8.96,64.37,158,3795000
HP,14x102,1.52,356,376,17.9,17.9,15,194,320,290,M27,106,270,2.154,14.16,43880,2465,2765,15.04,67.82,15880,844.5,1293,9.05,71.27,237.1,4532000
HP,14x117,1.74,361,378,20.4,20.4,15,222,320,290,M27,110,272,2.167,12.47,50840,2816,3180,15.15,77.53,18390,973,1493,9.11,78.77,349.1,5326000
UPN,50,0.0559,50,38,5,7,7,7.12,0,21,0,0,0,0.232,42.22,26.4,10.6,13.1,1.92,2.77,9.12,3.75,6.78,1.13,16.7,1.12,30
UPN,65,0.0709,65,42,5.5,7.5,7.5,9.03,0,34,0,0,0,0.273,39.57,57.5,17.7,21.7,2.52,3.68,14.1,5.07,9.38,1.25,18,1.61,80
UPN,80,0.0864,80,45,6,8,8,11,0,47,0,0,0,0.312,37.1,106,26.5,32.3,3.1,4.9,19.4,6.36,11.9,1.33,19.4,2.2,180
UPN,100,0.106,100,50,6,8.5,8.5,13.5,0,64,0,0,0,0.372,35.1,206,41.2,49,3.91,6.46,29.3,8.49,16.2,1.47,20.3,2.81,410
UPN,120,0.134,120,55,7,9,9,17,0,82,0,0,0,0.434,32.52,364,60.7,72.6,4.62,8.8,43.2,11.1,21.2,1.59,22.2,4.15,900
UPN,140,0.16,140,60,7,10,10,20.4,0,98,M12,33,37,0.489,30.54,605,86.4,103,5.45,10.4,62.7,14.8,28.3,1.75,23.9,5.68,1800
UPN,160,0.188,160,65,7.5,10.5,10.5,24,0,115,M12,34,42,0.546,28.98,925,116,138,6.21,12.6,85.3,18.3,35.2,1.89,25.3,7.39,3260
UPN,180,0.22,180,70,8,11,11,28,0,133,M16,38,41,0.611,27.8,1350,150,179,6.95,15.1,114,22.4,42.9,2.02,26.7,9.55,5570
UPN,200,0.253,200,75,8.5,11.5,11.5,32.2,0,151,M16,39,46,0.661,26.15,1910,191,228,7.7,17.7,148,27,51.8,2.14,28.1,11.9,9070
UPN,220,0.294,220,80,9,12.5,12.5,37.4,0,167,M16,40,51,0.718,24.46,2690,245,292,8.48,20.6,197,33.6,64.1,2.3,30.3,16,14600
UPN,240,0.332,240,85,9.5,13,13,42.3,0,184,M20,46,50,0.775,23.34,3600,300,358,9.22,23.7,248,39.6,75.7,2.42,31.7,19.7,22100
UPN,260,0.379,260,90,10,14,14,48.3,0,200,M22,50,52,0.834,22,4820,371,442,9.99,27.1,317,47.7,91.6,2.56,33.9,25.5,33300
UPN,280,0.418,280,95,10,15,15,53.3,0,216,M22,52,57,0.89,21.27,6280,448,532,10.9,29.3,399,57.2,109,2.74,35.6,31,48500
UPN,300,0.462,300,100,10,16,16,58.8,0,232,M24,55,59,0.95,20.58,8030,535,632,11.7,31.8,495,67.8,130,2.9,37.3,37.4,69100
UPN,320,0.595,320,100,14,17.5,17.5,75.8,0,246,M22,58,62,0.982,16.5,10870,679,826,12.1,47.1,597,80.6,152,2.81,43,66.7,96100
UPN,350,0.606,350,100,14,16,16,77.3,0,282,M22,56,62,1.05,17.25,12840,734,918,12.9,50.8,570,75,143,2.72,40.7,61.2,114000
UPN,380,0.631,380,102,13.5,16,16,80.4,0,313,M24,59,60,1.11,17.59,15760,829,1010,14,53.2,615,78.7,148,2.77,40.3,59.1,146000
UPN,400,0.718,400,110,14,18,18,91.5,0,324,M27,61,62,1.18,16.46,20350,1020,1240,14.9,58.6,846,102,190,3.04,44,81.6,221000
UPE,80,0.079,80,50,4,7,10,10.1,66,46,0,0,0,0.343,43.45,107,26.8,31.2,3.26,4.05,25.5,8,14.3,1.59,16.9,1.47,220
UPE,100,0.0982,100,55,4.5,7.5,10,12.5,85,65,M12,35,36,0.402,41,207,41.4,48,4.07,5.34,38.3,10.6,19.3,1.75,17.9,2.01,530
UPE,120,0.121,120,60,5,8,12,15.4,104,80,M12,35,41,0.46,37.98,364,60.6,70.3,4.86,7.18,55.5,13.8,25.3,1.9,20,2.9,1120
UPE,140,0.145,140,65,5,9,12,18.4,122,98,M16,35,38,0.52,35.95,600,85.6,98.8,5.71,8.25,78.8,18.2,33.2,2.07,21,4.05,2200
UPE,160,0.17,160,70,5.5,9.5,12,21.7,141,117,M16,36,43,0.579,34.01,911,114,132,6.48,10,107,22.6,41.5,2.22,22,5.2,3960
UPE,180,0.197,180,75,5.5,10.5,12,25.1,159,135,M16,36,48,0.639,32.4,1350,150,173,7.34,11.2,144,28.6,52.3,2.39,23,6.99,6810
UPE,200,0.228,200,80,6,11,13,29,178,152,M20,46,47,0.697,30.6,1910,191,220,8.11,13.5,187,34.5,63.3,2.54,24.6,8.89,11000
UPE,220,0.266,220,85,6.5,12,13,33.9,196,170,M22,47,49,0.756,28.43,2680,244,281,8.9,15.8,247,42.5,78.2,2.7,26.1,12.1,17600
UPE,240,0.302,240,90,7,12.5,15,38.5,215,185,M24,47,51,0.813,26.89,3600,300,347,9.67,18.8,311,50.1,92.2,2.84,28.3,15.1,26400
UPE,270,0.352,270,95,7.5,13.5,15,44.8,243,213,M27,48,50,0.892,25.34,5250,389,451,10.8,22.2,401,60.7,112,2.99,29.8,19.9,43600
UPE,300,0.444,300,100,9.5,15,15,56.6,270,240,M27,50,55,0.968,21.78,7820,522,613,11.8,30.3,538,75.6,137,3.08,33.3,31.5,72700
UPE,330,0.532,330,105,11,16,18,67.8,298,262,M27,54,60,1.043,19.6,11010,667,792,12.7,38.8,681,89.7,156,3.17,37.5,45.2,112000
UPE,360,0.612,360,110,12,17,18,77.9,326,290,M27,55,65,1.121,18.32,14830,824,982,13.8,45.6,844,105,178,3.29,39.5,58.5,166000
UPE,400,0.722,400,115,13.5,18,18,91.9,364,328,M27,57,70,1.218,16.87,20980,1050,1260,15.1,56.2,1045,123,191,3.37,42,79.1,259000
C,3x4.1,0.061,76,35,4.3,6.9,0,7.81,0,38,0,0,0,0.277,45.47,69.1,18.1,21.7,2.98,3.78,7.96,3.27,6.4,1.01,18.2,1.31,70
C,3x5,0.074,76,37,6.6,6.9,0,9.48,0,38,0,0,0,0.281,37.95,76.6,20.1,24.9,2.85,5.33,9.63,3.65,7.36,1.01,20.4,2.2,90
C,3x6,0.089,76,40,9,6.9,0,11.3,0,38,0,0,0,0.288,32.35,86.4,22.7,28.7,2.76,7,12.1,4.19,8.8,1.03,23.2,4.14,110
C,4x5.4,0.08,102,40,4.7,7.5,0,10.3,0,66,0,0,0,0.347,43.36,160,31.6,37.8,3.97,5.14,13.8,4.89,9.4,1.16,18.4,1.67,220
C,4x7.25,0.108,102,43,8.2,7.5,0,13.7,0,60,0,0,0,0.352,32.55,191,37.6,47,3.72,8.59,17.4,5.48,11.3,1.12,23.2,4.25,300
C,5x6.7,0.104,127,44,4.8,8.1,0,12.7,0,83,0,0,0,0.424,40.77,332,52.3,61.8,5.01,6.81,24.3,7.19,14.1,1.36,21.2,2.72,620
C,5x9,0.13,127,47,8.3,8.1,0,17,0,86,0,0,0,0.422,31.47,371,58.5,73.1,4.66,10.7,27.4,7.65,15.3,1.27,23.5,4.9,730
C,6x8.2,0.122,152,48,5.1,8.7,0,15.5,0,107,0,0,0,0.478,39.19,548,72,85.6,5.94,8.5,29.2,8.3,16.1,1.37,22.1,3.37,1090
C,6x10.5,0.156,152,51,8,8.7,0,19.9,0,107,0,0,0,0.484,31.05,630,82.7,103,5.63,12.6,36,9.36,18.7,1.35,24.8,5.96,1400
C,6x13,0.193,152,54,11.1,8.7,0,24.7,0,105,0,0,0,0.49,25.39,721,94.6,121,5.41,17.1,42.4,10.3,22.1,1.31,28.6,12,1720
C,7x9.8,0.146,178,53,5.3,9.3,0,18.5,0,130,0,0,0,0.548,37.51,896,101,120,6.94,10.2,42.7,10.9,21.1,1.52,23.3,4.39,2180
C,7x12.25,0.182,178,55,8,9.3,0,23.2,0,130,0,0,0,0.55,30.24,1007,113,140,6.59,14.7,49.2,11.8,23.4,1.46,25.9,7.25,2620
C,7x14.75,0.22,178,58,10.6,9.3,0,27.9,0,125,0,0,0,0.557,25.3,1143,129,163,6.39,19.3,56.8,12.7,27,1.42,30,13.9,3190
C,8x11.5,0.171,203,57,5.6,9.9,0,21.8,0,156,0,0,0,0.564,33.22,1340,132,156,7.86,13.2,53.8,12.6,27.6,1.57,29.3,5.86,3790
C,8x13.75,0.205,203,59,7.7,9.9,0,26.1,0,156,0,0,0,0.577,28.82,1490,147,177,7.57,16.7,62,13.7,30,1.54,27.5,7.6,4500
C,8x18.75,0.279,203,64,12.4,9.9,0,35.5,0,156,0,0,0,0.584,21.41,1820,179,226,7.15,26,81.7,16.4,35.9,1.51,30.6,17.9,6000
C,9x13.4,0.199,229,61,5.9,10.5,0,25.4,0,177,0,0,0,0.679,34.11,1991,174,208,8.86,14.4,76.1,16.7,31.9,1.73,25.7,7.08,6470
C,9x15,0.22,229,63,7.2,10.5,0,28.5,0,177,0,0,0,0.684,30.68,2132,187,226,8.66,17.2,85.3,17.8,34.3,1.73,26.9,8.8,7390
C,9x20,0.3,229,67,11.4,10.5,0,37.9,0,173,0,0,0,0.692,23.2,2544,223,282,8.19,26.4,103,19.8,41,1.65,32.1,19.9,9520
C,10x15.3,0.228,254,65,6.1,11.1,0,29,0,203,0,0,0,0.692,30.85,2770,218,257,9.81,17.6,91.2,18.5,40.3,1.78,32,9.15,10400
C,10x20,0.3,254,69,9.6,11.1,0,37.9,0,203,0,0,0,0.701,23.98,3260,257,315,9.29,26.1,114,21.2,46.5,1.74,33.6,15.7,13100
C,10x25,0.37,254,73,13.4,11.1,0,47.4,0,203,0,0,0,0.713,19.52,3790,298,377,8.93,35.2,138,24,52.6,1.7,34.4,28.6,16200
C,10x30,0.45,254,76,17.1,11.1,0,56.9,0,203,0,0,0,0.721,16.58,4270,336,434,8.68,44,158,26.5,57.4,1.67,35.2,48.8,19500
C,12x20.7,0.308,305,74,7.2,12.7,0,39.3,0,248,0,0,0,0.825,26.6,5340,350,415,11.7,24.5,157,27.7,60.2,2,35.1,16,24800
C,12x25,0.37,305,77,9.8,12.7,0,47.4,0,248,0,0,0,0.841,22.71,5970,391,477,11.2,31.3,183,30.5,66,1.97,33.5,21.9,29500
C,12x30,0.45,305,80,13,12.7,0,56.9,0,248,0,0,0,0.824,18.27,6720,441,551,10.9,42.5,209,33.2,72.1,1.92,41.8,39.2,34400
C,15x33.9,0.504,381,86,10.2,16.5,0,64.3,0,308,0,0,0,1048,20.96,13100,688,825,14.3,38.7,334,50.5,107,2.28,32.1,38.3,83400
C,15x40,0.6,381,89,13.2,16.5,0,76.1,0,308,0,0,0,1037,17.55,14400,756,934,13.8,50.9,379,54.7,115,2.24,38.3,57.3,96400
C,15x50,0.74,381,94,18.2,16.5,0,94.8,0,308,0,0,0,1040,14.05,16700,877,1120,13.3,69.7,454,61.5,130,2.19,42.7,108,118000
#
# End of the document
